idx,kind,stage,block,role,params,shape,apb,name
0,Conv2d,-1,-1,first,4704,"(96, 3, 4, 4)",SKIP_NON_LINEAR,patch_embed.proj
1,LayerNorm,-1,-1,first,192,"(96,)",SKIP_NON_LINEAR,patch_embed.norm
2,LayerNorm,0,0,norm,192,"(96,)",SKIP_NON_LINEAR,layers.0.blocks.0.norm1
3,Linear,0,0,attn_qkv,27936,"(288, 96)",APB_TARGET,layers.0.blocks.0.attn.qkv
4,Linear,0,0,attn_proj,9312,"(96, 96)",APB_TARGET,layers.0.blocks.0.attn.proj
5,LayerNorm,0,0,norm,192,"(96,)",SKIP_NON_LINEAR,layers.0.blocks.0.norm2
6,Linear,0,0,mlp_fc1,37248,"(384, 96)",APB_TARGET,layers.0.blocks.0.mlp.fc1
7,Linear,0,0,mlp_fc2,36960,"(96, 384)",APB_TARGET,layers.0.blocks.0.mlp.fc2
8,LayerNorm,0,1,norm,192,"(96,)",SKIP_NON_LINEAR,layers.0.blocks.1.norm1
9,Linear,0,1,attn_qkv,27936,"(288, 96)",APB_TARGET,layers.0.blocks.1.attn.qkv
10,Linear,0,1,attn_proj,9312,"(96, 96)",APB_TARGET,layers.0.blocks.1.attn.proj
11,LayerNorm,0,1,norm,192,"(96,)",SKIP_NON_LINEAR,layers.0.blocks.1.norm2
12,Linear,0,1,mlp_fc1,37248,"(384, 96)",APB_TARGET,layers.0.blocks.1.mlp.fc1
13,Linear,0,1,mlp_fc2,36960,"(96, 384)",APB_TARGET,layers.0.blocks.1.mlp.fc2
14,LayerNorm,1,-1,norm,768,"(384,)",SKIP_NON_LINEAR,layers.1.downsample.norm
15,Linear,1,-1,downsample,73728,"(192, 384)",SKIP_BY_RULE,layers.1.downsample.reduction
16,LayerNorm,1,0,norm,384,"(192,)",SKIP_NON_LINEAR,layers.1.blocks.0.norm1
17,Linear,1,0,attn_qkv,111168,"(576, 192)",APB_TARGET,layers.1.blocks.0.attn.qkv
18,Linear,1,0,attn_proj,37056,"(192, 192)",APB_TARGET,layers.1.blocks.0.attn.proj
19,LayerNorm,1,0,norm,384,"(192,)",SKIP_NON_LINEAR,layers.1.blocks.0.norm2
20,Linear,1,0,mlp_fc1,148224,"(768, 192)",APB_TARGET,layers.1.blocks.0.mlp.fc1
21,Linear,1,0,mlp_fc2,147648,"(192, 768)",APB_TARGET,layers.1.blocks.0.mlp.fc2
22,LayerNorm,1,1,norm,384,"(192,)",SKIP_NON_LINEAR,layers.1.blocks.1.norm1
23,Linear,1,1,attn_qkv,111168,"(576, 192)",APB_TARGET,layers.1.blocks.1.attn.qkv
24,Linear,1,1,attn_proj,37056,"(192, 192)",APB_TARGET,layers.1.blocks.1.attn.proj
25,LayerNorm,1,1,norm,384,"(192,)",SKIP_NON_LINEAR,layers.1.blocks.1.norm2
26,Linear,1,1,mlp_fc1,148224,"(768, 192)",APB_TARGET,layers.1.blocks.1.mlp.fc1
27,Linear,1,1,mlp_fc2,147648,"(192, 768)",APB_TARGET,layers.1.blocks.1.mlp.fc2
28,LayerNorm,2,-1,norm,1536,"(768,)",SKIP_NON_LINEAR,layers.2.downsample.norm
29,Linear,2,-1,downsample,294912,"(384, 768)",SKIP_BY_RULE,layers.2.downsample.reduction
30,LayerNorm,2,0,norm,768,"(384,)",SKIP_NON_LINEAR,layers.2.blocks.0.norm1
31,Linear,2,0,attn_qkv,443520,"(1152, 384)",APB_TARGET,layers.2.blocks.0.attn.qkv
32,Linear,2,0,attn_proj,147840,"(384, 384)",APB_TARGET,layers.2.blocks.0.attn.proj
33,LayerNorm,2,0,norm,768,"(384,)",SKIP_NON_LINEAR,layers.2.blocks.0.norm2
34,Linear,2,0,mlp_fc1,591360,"(1536, 384)",APB_TARGET,layers.2.blocks.0.mlp.fc1
35,Linear,2,0,mlp_fc2,590208,"(384, 1536)",APB_TARGET,layers.2.blocks.0.mlp.fc2
36,LayerNorm,2,1,norm,768,"(384,)",SKIP_NON_LINEAR,layers.2.blocks.1.norm1
37,Linear,2,1,attn_qkv,443520,"(1152, 384)",APB_TARGET,layers.2.blocks.1.attn.qkv
38,Linear,2,1,attn_proj,147840,"(384, 384)",APB_TARGET,layers.2.blocks.1.attn.proj
39,LayerNorm,2,1,norm,768,"(384,)",SKIP_NON_LINEAR,layers.2.blocks.1.norm2
40,Linear,2,1,mlp_fc1,591360,"(1536, 384)",APB_TARGET,layers.2.blocks.1.mlp.fc1
41,Linear,2,1,mlp_fc2,590208,"(384, 1536)",APB_TARGET,layers.2.blocks.1.mlp.fc2
42,LayerNorm,2,2,norm,768,"(384,)",SKIP_NON_LINEAR,layers.2.blocks.2.norm1
43,Linear,2,2,attn_qkv,443520,"(1152, 384)",APB_TARGET,layers.2.blocks.2.attn.qkv
44,Linear,2,2,attn_proj,147840,"(384, 384)",APB_TARGET,layers.2.blocks.2.attn.proj
45,LayerNorm,2,2,norm,768,"(384,)",SKIP_NON_LINEAR,layers.2.blocks.2.norm2
46,Linear,2,2,mlp_fc1,591360,"(1536, 384)",APB_TARGET,layers.2.blocks.2.mlp.fc1
47,Linear,2,2,mlp_fc2,590208,"(384, 1536)",APB_TARGET,layers.2.blocks.2.mlp.fc2
48,LayerNorm,2,3,norm,768,"(384,)",SKIP_NON_LINEAR,layers.2.blocks.3.norm1
49,Linear,2,3,attn_qkv,443520,"(1152, 384)",APB_TARGET,layers.2.blocks.3.attn.qkv
50,Linear,2,3,attn_proj,147840,"(384, 384)",APB_TARGET,layers.2.blocks.3.attn.proj
51,LayerNorm,2,3,norm,768,"(384,)",SKIP_NON_LINEAR,layers.2.blocks.3.norm2
52,Linear,2,3,mlp_fc1,591360,"(1536, 384)",APB_TARGET,layers.2.blocks.3.mlp.fc1
53,Linear,2,3,mlp_fc2,590208,"(384, 1536)",APB_TARGET,layers.2.blocks.3.mlp.fc2
54,LayerNorm,2,4,norm,768,"(384,)",SKIP_NON_LINEAR,layers.2.blocks.4.norm1
55,Linear,2,4,attn_qkv,443520,"(1152, 384)",APB_TARGET,layers.2.blocks.4.attn.qkv
56,Linear,2,4,attn_proj,147840,"(384, 384)",APB_TARGET,layers.2.blocks.4.attn.proj
